nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,,,
nm0000001,Fred Astaire,1899,1987,"soundtrack,actor,miscellaneous",tt0050419,tt0053137,tt0072308,tt0031983
nm0000002,Lauren Bacall,1924,2014,"actress,soundtrack",tt0075213,tt0037382,tt0117057,tt0038355
nm0000003,Brigitte Bardot,1934,\N,"actress,soundtrack,music_department",tt0057345,tt0049189,tt0054452,tt0056404
nm0000004,John Belushi,1949,1982,"actor,soundtrack,writer",tt0080455,tt0072562,tt0077975,tt0078723
nm0000005,Ingmar Bergman,1918,2007,"writer,director,actor",tt0050976,tt0050986,tt0083922,tt0069467
nm0000006,Ingrid Bergman,1915,1982,"actress,soundtrack,producer",tt0034583,tt0036855,tt0038109,tt0038787
nm0000007,Humphrey Bogart,1899,1957,"actor,soundtrack,producer",tt0034583,tt0043265,tt0042593,tt0037382
nm0000008,Marlon Brando,1924,2004,"actor,soundtrack,director",tt0068646,tt0047296,tt0078788,tt0070849
nm0000009,Richard Burton,1925,1984,"actor,soundtrack,producer",tt0059749,tt0057877,tt0087803,tt0061184
nm0000010,James Cagney,1899,1986,"actor,soundtrack,director",tt0029870,tt0031867,tt0035575,tt0042041
nm0000011,Gary Cooper,1901,1961,"actor,soundtrack,stunts",tt0035896,tt0044706,tt0027996,tt0034167
nm0000012,Bette Davis,1908,1989,"actress,soundtrack,make_up_department",tt0056687,tt0031210,tt0042192,tt0035140
nm0000013,Doris Day,1922,2019,"soundtrack,actress,producer",tt0049470,tt0045591,tt0048317,tt0053172
nm0000014,Olivia de Havilland,1916,2020,"actress,soundtrack",tt0029843,tt0040806,tt0041452,tt0031381
nm0000015,James Dean,1931,1955,"actor,miscellaneous",tt0048028,tt0049261,tt0048545,tt0120956
nm0000017,Marlene Dietrich,1901,1992,"soundtrack,actress,music_department",tt0055031,tt0021156,tt0052311,tt0051201
nm0000018,Kirk Douglas,1916,2020,"actor,producer,soundtrack",tt0043465,tt0054331,tt0050825,tt0049456
nm0000019,Federico Fellini,1920,1993,"writer,director,actor",tt0071129,tt0053779,tt0050783,tt0056801
nm0000020,Henry Fonda,1905,1982,"actor,producer,soundtrack",tt0082846,tt0032551,tt0050083,tt0051207
nm0000021,Joan Fontaine,1917,2013,"actress,soundtrack,producer",tt0034248,tt0032976,tt0036969,tt0035751
nm0000022,Clark Gable,1901,1960,"actor,soundtrack,producer",tt0025316,tt0023382,tt0031381,tt0026752
nm0000023,Judy Garland,1922,1969,"soundtrack,actress",tt0037059,tt0055031,tt0047522,tt0032138
nm0000024,John Gielgud,1904,2000,"actor,writer,director",tt0045943,tt0117631,tt0082031,tt0071877
nm0000026,Cary Grant,1904,1986,"actor,soundtrack,producer",tt0056923,tt0034248,tt0038787,tt0053125
nm0000027,Alec Guinness,1914,2000,"actor,soundtrack,writer",tt0076759,tt0051739,tt0050212,tt0041546
nm0000028,Rita Hayworth,1918,1987,"actress,soundtrack,producer",tt0035103,tt0038559,tt0040525,tt0036723
nm0000029,Margaux Hemingway,1954,1996,"actress,miscellaneous",tt0074802,tt0110138,tt0077800,tt0102122
nm0000030,Audrey Hepburn,1929,1993,"actress,soundtrack",tt0058385,tt0056923,tt0054698,tt0046250
nm0000031,Katharine Hepburn,1907,2003,"actress,soundtrack,writer",tt0043265,tt0032904,tt0082846,tt0063227
nm0000032,Charlton Heston,1923,2008,"actor,director,soundtrack",tt0063442,tt0067525,tt0052618,tt0049833
nm0000034,William Holden,1918,1981,"actor,soundtrack,miscellaneous",tt0043014,tt0047437,tt0046359,tt0074958
nm0000036,Buster Keaton,1895,1966,"actor,writer,director",tt0015324,tt0017925,tt0016332,tt0015163
nm0000037,Gene Kelly,1912,1996,"soundtrack,actor,miscellaneous",tt0043278,tt0041716,tt0053946,tt0045152
nm0000038,Grace Kelly,1929,1982,"actress,soundtrack,producer",tt0047396,tt0048728,tt0046912,tt0046874
nm0000039,Deborah Kerr,1921,2007,"actress,soundtrack",tt0039192,tt0045793,tt0049408,tt0050105
nm0000042,Alan Ladd,1913,1964,"actor,producer,camera_department",tt0046303,tt0039056,tt0035432,tt0038369
nm0000043,Veronica Lake,1922,1973,"actress,soundtrack,producer",tt0034240,tt0038369,tt0035432,tt0034881
nm0000044,Burt Lancaster,1913,1994,"actor,producer,soundtrack",tt0085859,tt0051036,tt0045793,tt0053793
nm0000045,Bruce Lee,1940,1973,"actor,writer,miscellaneous",tt0067824,tt0068767,tt0068935,tt0070034
nm0000046,Vivien Leigh,1913,1967,"actress,soundtrack,writer",tt0044081,tt0031381,tt0033238,tt0034272
nm0000047,Sophia Loren,1934,\N,"actress,soundtrack",tt0076085,tt0054749,tt0058335,tt0060121
nm0000048,Peter Lorre,1904,1964,"actor,soundtrack,writer",tt0022100,tt0036613,tt0033870,tt0034583
nm0000050,Groucho Marx,1890,1977,"soundtrack,actor,writer",tt0023969,tt0019777,tt0028772,tt0026778
nm0000051,James Mason,1909,1984,"actor,producer,writer",tt0056193,tt0084855,tt0053125,tt0047522
nm0000052,Marcello Mastroianni,1924,1996,"actor,producer,soundtrack",tt0056801,tt0053779,tt0076085,tt0058335
nm0000053,Robert Mitchum,1917,1997,"actor,soundtrack,producer",tt0048424,tt0039689,tt0050356,tt0056197
nm0000054,Marilyn Monroe,1926,1962,"soundtrack,actress,writer",tt0045810,tt0045891,tt0048605,tt0053291
nm0000056,Paul Newman,1925,2008,"actor,producer,director",tt0110684,tt0257044,tt0054997,tt0084855
